"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","correct","locations","target_present","set_size","task","correct_response","target","foilCM","setSizeCM","searchCondition"
"true","false","[]","[]","[]","preload","0","36598","0.0-0.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","45337","0.0-1.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","55780","0.0-2.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","10443","What a beautiful Thursday to do some awesome science! </p> <p>  </p><p> </p>
    By completing this survey or questionnaire, you are consenting to be in this research study. </p>
    Your participation is voluntary and you can stop at any time.
    <p> [Press any key to continue.] </p>
    
    "," ","","","","","","","","","",""
"","","","","","video-keyboard-response","3","81020","0.0-3.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","25237.299999999814","[""video/TaskInstructions.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","4","86168","0.0-4.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","5148.700000000186","
    <p>First, we're going to do a few practice trials to make sure you understand the task. You will recieve feedback on each trial. </p>
    <p>[Press any key to begin the familiarization phase.]</p>
    "," ","","","","","","","","","",""
"","","","","","visual-search-circle","5","91811","0.0-5.0-0.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","4589.700000000186","","s","false","[[436,567],[567,163],[163,32],[32,436]]","true","4","training","d","","","",""
"","","","","","html-keyboard-response","6","94464","0.0-6.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","2652.300000000745"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","7","97108","0.0-7.0-0.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1642.2000000001863","","d","false","[[554,141],[141,45],[45,458],[458,554]]","false","4","training","s","","","",""
"","","","","","html-keyboard-response","8","98522","0.0-8.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1412.7999999998137"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","9","101165","0.0-9.0-0.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1638.2000000001863","","d","false","[[578,187],[341,2],[63,115],[21,412],[258,597],[536,484]]","false","6","training","s","","","",""
"","","","","","html-keyboard-response","10","102518","0.0-10.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1352.7000000001863"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> "," ","","","","","","","","","",""
"","","","","","visual-search-circle","11","104368","0.0-11.0-0.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","845","","s","false","[[519,95],[310,0],[95,80],[0,289],[80,504],[289,599],[504,519],[599,310]]","true","8","training","d","","","",""
"","","","","","html-keyboard-response","12","105109","0.0-12.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","739.7000000001863"," <div style='float: center;'><img src='img/feedbackWrong.png'></img> </div> ","s","","","","","","","","","",""
"","","","","","video-keyboard-response","13","105423","0.0-13.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","312.29999999981374","[""video/endTraining.mp4""]"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","14","105425","0.0-14.0-0.0-0.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","15","106989","0.0-14.0-0.0-1.0","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","553.5","","s","false","[[352,4],[4,247],[247,595],[595,352]]","true","4","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","4","targetDown_distractorsUp"
"","","","","","html-keyboard-response","16","106990","0.0-14.0-0.0-0.1","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","17","109392","0.0-14.0-0.0-1.1","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1393.7000000001863","","d","false","[[598,326],[529,107],[326,1],[107,70],[1,273],[70,492],[273,598],[492,529]]","false","8","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","8","targetUp_distractorsDown"
"","","","","","html-keyboard-response","18","109393","0.0-14.0-0.0-0.2","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","19","112048","0.0-14.0-0.0-1.2","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1650","","s","false","[[392,14],[163,32],[14,207],[32,436],[207,585],[436,567],[585,392],[567,163]]","true","8","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","8","targetDown_distractorsUp"
"","","","","","html-keyboard-response","20","112050","0.0-14.0-0.0-0.3","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","21","116121","0.0-14.0-0.0-1.3","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","3068.4000000003725","","d","false","[[284,0],[0,315],[315,599],[599,284]]","false","4","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","4","targetDown_distractorsUp"
"","","","","","html-keyboard-response","22","116123","0.0-14.0-0.0-0.4","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","23","120821","0.0-14.0-0.0-1.4","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","3695.2999999998137","","s","false","[[95,80],[28,426],[336,597],[594,357],[445,37]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","24","120823","0.0-14.0-0.0-0.5","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","25","124327","0.0-14.0-0.0-1.5","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","2499.399999999441","","d","false","[[182,23],[2,263],[119,539],[417,576],[597,336],[480,60]]","false","6","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","26","124328","0.0-14.0-0.0-0.6","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","27","125769","0.0-14.0-0.0-1.6","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","434.59999999962747","","s","false","[[554,458],[582,200],[398,16],[139,46],[1,267],[88,512],[334,598]]","true","7","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","7","targetUp_distractorsDown"
"","","","","","html-keyboard-response","28","125771","0.0-14.0-0.0-0.7","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","29","127224","0.0-14.0-0.0-1.7","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","438.09999999962747","","d","false","[[187,21],[0,320],[227,591],[554,458],[529,107]]","false","5","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","5","targetDown_distractorsUp"
"","","","","","html-keyboard-response","30","127228","0.0-14.0-0.0-0.8","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","31","128778","0.0-14.0-0.0-1.8","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","540.5999999996275","","s","false","[[66,111],[1,331],[111,533],[331,598],[533,488],[598,268],[488,66],[268,1]]","true","8","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","8","targetDown_distractorsUp"
"","","","","","html-keyboard-response","32","128781","0.0-14.0-0.0-0.9","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","33","130292","0.0-14.0-0.0-1.9","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","504","","d","false","[[569,168],[168,30],[30,431],[431,569]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","34","130295","0.0-14.0-0.0-0.10","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","35","131840","0.0-14.0-0.0-1.10","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","534.4000000003725","","s","true","[[42,454],[260,597],[507,516],[598,272],[464,49],[206,14],[18,195]]","false","7","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","7","targetUp_distractorsDown"
"","","","","","html-keyboard-response","36","131841","0.0-14.0-0.0-0.11","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","37","133338","0.0-14.0-0.0-1.11","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","482.6000000005588","","d","false","[[42,145],[18,404],[206,585],[464,550],[598,327],[507,83],[260,2]]","false","7","main_T2_Trial","s","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","38","133341","0.0-14.0-0.0-0.12","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","39","134929","0.0-14.0-0.0-1.12","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","579.5999999996275","","s","false","[[574,422],[500,77],[150,40],[6,362],[268,598]]","true","5","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","5","targetDown_distractorsUp"
"","","","","","html-keyboard-response","40","134931","0.0-14.0-0.0-0.13","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","41","136364","0.0-14.0-0.0-1.13","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","426.70000000018626","","d","false","[[585,392],[392,14],[14,207],[207,585]]","false","4","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","42","136367","0.0-14.0-0.0-0.14","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","43","138080","0.0-14.0-0.0-1.14","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","708.7000000001863","","s","false","[[18,402],[310,599],[588,382],[467,51],[115,63]]","true","5","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","44","138082","0.0-14.0-0.0-0.15","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","45","139536","0.0-14.0-0.0-1.15","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","445.70000000018626","","d","true","[[107,529],[326,598],[529,492],[598,273],[492,70],[273,1],[70,107],[1,326]]","true","8","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","8","targetUp_distractorsDown"
"","","","","","html-keyboard-response","46","139538","0.0-14.0-0.0-0.16","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","47","141108","0.0-14.0-0.0-1.16","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","552.2999999998137","","s","false","[[136,551],[394,584],[581,403],[556,144],[338,2],[91,84],[1,329]]","true","7","main_T2_Trial","d","img/Fire_Down_Target.gif","[""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif"",""img/Fire_Up_Distractor.gif""]","7","targetDown_distractorsUp"
"","","","","","html-keyboard-response","48","141111","0.0-14.0-0.0-0.17","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","49","142568","0.0-14.0-0.0-1.17","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","445.20000000018626","","d","true","[[362,6],[109,68],[0,304],[116,537],[371,591],[572,426],[568,165]]","true","7","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","7","targetUp_distractorsDown"
"","","","","","html-keyboard-response","50","142570","0.0-14.0-0.0-0.18","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","51","144130","0.0-14.0-0.0-1.18","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","557.5999999996275","","s","true","[[597,341],[431,30],[84,91],[35,440],[352,595]]","false","5","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","5","targetUp_distractorsDown"
"","","","","","html-keyboard-response","52","150564","0.0-14.0-0.0-0.19","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","6433.9000000003725","Wow! You've completed 20 out of 160 trials! </p> <p>  </p><p> Take a quick break, then press any key when you're ready to continue."," ","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","53","160064","0.0-14.0-0.0-1.19","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","8490.5","","s","false","[[14,392],[237,593],[522,500],[585,207],[362,6],[77,99]]","true","6","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","6","targetUp_distractorsDown"
"","","","","","html-keyboard-response","54","160066","0.0-14.0-0.0-0.20","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","55","163063","0.0-14.0-0.0-1.20","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1994.2000000001863","","s","false","[[476,57],[57,123],[123,542],[542,476]]","true","4","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","56","163066","0.0-14.0-0.0-0.21","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","57","170459","0.0-14.0-0.0-1.21","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","6390.5","","s","false","[[25,177],[177,574],[574,422],[422,25]]","true","4","main_T2_Trial","d","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","4","targetUp_distractorsDown"
"","","","","","html-keyboard-response","58","170462","0.0-14.0-0.0-0.22","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
"","","","","","visual-search-circle","59","173227","0.0-14.0-0.0-1.22","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","1760.2000000001863","","d","false","[[111,533],[331,598],[533,488],[598,268],[488,66],[268,1],[66,111],[1,331]]","false","8","main_T2_Trial","s","img/Fire_Up_Target.gif","[""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif"",""img/Fire_Down_Distractor.gif""]","8","targetUp_distractorsDown"
"","","","","","html-keyboard-response","60","173230","0.0-14.0-0.0-0.23","5fbeef08fae48b16613fbe94","619531dcf66c91622fa1b861","619597cfdbf55536a91ea0f8","null","","null","","","","","main_T1_ITI","","","","",""
